,birth,death,gender,hair,height,name,race,realm,spouse,biography,history
402,,,Male,,,Hendor,Elves,,,"Hendor was a house-carle and servant of Idril Celebrindal during the First Age. It is told that Hendor carried Eärendil, when he was a child, to safety amid the Fall of Gondolin when they, Tuor, and others were assailed by wolf-riders.[1]",
403,"Late-,Third Age","March 15 ,3019",Male,Gray,,Herefara,Men,,Unnamed wife,,
404,TA 2037,TA 2148,Male,,,Herion,Men,,Unnamed wife,"Following the death of his father, Eradan, in TA 2116 Herion became the third Ruling Steward, and the third steward to rule during the Watchful Peace. He died in TA 2148 at the age of 111, and was succeeded by his son Belegorn.
He was the grandson of Mardil Voronwë.[2]",
405,"Late-,Third Age","March 15 ,3019",Male,,,Herubrand,Men,,Unnamed wife,,
406,SA 2286,SA 2657,Male,,,Herucalmo,Men,,Tar-Vanimeldë,"Herucalmo was ""much younger"" than his wife. Tar-Vanimeldë had little interest in ruling, and Herucalmo served as her regent taking over the duties of state. When she died, the throne should have gone to their son, Tar-Alcarin, but Herucalmo usurped the throne and ruled under the name Tar-Anducal (""Light of the West"") from SA 2637 to SA 2657. Being an illegal claim to the throne of Númenor, Herucalmo was not recognised by historians as a rightful King of Númenor.
Upon Tar-Anducal's death, Tar-Vanimeldë's son Tar-Alcarin finally succeeded to his rightful throne.[1]",
407,"Late ,Third Age",TA 3019,Male,,Tall,Hirgon,Men,,,"Hirgon was bidden by the Steward Denethor II to bring to the King of Rohan a token of war. He rode to the camp of the Rohirrim at the risk of his own life to present the Red Arrow of Gondor to Théoden, King of Rohan, as a request for aid in their war against Sauron. After speaking to the king, he insisted on riding back to Gondor and Minas Tirith to assist in the struggle.
Hirgon was later found dead by the Riders of Rohan with his hand still grasping the Red Arrow, while on their way to Gondor.
He wore a riders' cloak of dark green over a coat of fine chain-mail, and a helm with a small silver star. Meriadoc Brandybuck nearly mistook Hirgon at first for Boromir, as they were similar in posture and appearance.[1]",
408,"Late ,Third Age","March 15 ,3019",Male,,Tall,Hirluin,Men,,,"Hirluin's early history was not known; only that he was lord of the Pinnath Gelin‎ area of Gondor. He was the leader of three-hundred gallant green-clad and well-armed men raised for the defence of Gondor, fighting in the Battle of the Pelennor Fields.[1]
Hirluin slew many Orcs during the siege but he came to his doom when he was overwhelmed by the Orc horde at the breaking of Minas Tirith's Great Gate. Hirluin was buried before the gate at which he fell alongside Forlong. Afterwards, the memory of his death as with others was lamented in the Mounds of Mundburg.[2]",
409,TA 2846,,Male,,,Hob Gammidge,Hobbit,,Rowan,"Hob was the son of Wiseman Gamwich. He was a roper in Tighfield. He married Rowan, the eldest daughter of Holman the Greenhanded. They had at least one child, Hobson Gamgee.[1]",
410,"Late ,Third Age",,Male,,,Hob Hayward,Hobbits,Shire,,"Hob Hayward was a two-feathered Shirriff. Before the War of the Ring, he had watched the Buckland Gate as a doorguard. He was well acquainted with the Brandybuck family.
During Lotho Sackville-Baggins's reign over the Shire, the Shirriffs were reorganized. Hob was old, and one of several shirriffs who were to guard the new gate at the Brandywine Bridge under the command of Bill Ferny.
When Frodo Baggins and his companions returned from their adventure, they found Hob at the gate, who forbade them to pass. After they chased off Ferny, Hob informed them of the changes in their homeland. Although was warned by the other guards, he still told Frodo and his company the truth.[1] His further fate is unknown, though he possibly joined the Battle of Bywater with the other Shirriffs that switched sides.",
411,"Possibly late ,Third Age","March 15 ,TA 3019",Male,Blond (Video game),,Horn,Men,,,,
412,"Late ,Third Age","Late ,TA 3018",Male,,,Tobias Hornblower,Hobbits,Shire,,"Tobold was a well-respected gardener, most notable for his discovery and cultivation of the herb Pipe-weed c. TA 2670, or 1070 by Shire Reckoning. He resided in the Southfarthing village of Longbottom, and was there immortalized as 'Old Toby'. His Pipe-weed business led to the herb's popularity throughout the Shire and beyond.[1][2]
The Pipe-weed variety 'Old Toby' was named after him, and 'Longbottom Leaf' possibly refers to his home where the plant was first cultivated in the Shire. According to Herblore of the Shire, by Meriadoc Brandybuck, it was believed that Tobold Hornblower learned about Pipe-weed in Bree, as that was the farthest from the Shire that he traveled and the herb was known to have grown on the south slopes of the hill there. His date of death is not recorded, but he likely died sometime in the twenty-seventh century of the Third Age.[3]",
413,"Mid ,FA",Mid FA ,Male,,,Hundad,Men,,Unnamed wife,,
414,"Late ,First Age",FA 473,Male,,,Hundar,Men,,Unnamed wife,"Hundar was the youngest son of Halmir, and his siblings were Haldir, Hareth, and Hiril. He had a daughter named Hunleth and a son named Hundad. Little else of his life is known, save that he perished in the Nírnaeth Arnoediad.[1]",
415,"Late ,FA",FA 499,Male,,,Hunthor,Men,,Unnamed wife,"Hunthor was a kinsman of Brandir the Lame, and was known to have had a wife. His brother Manthor appears in ""The Wanderings of Húrin"" (Turin's father), after Túrin's death.[1][2]",
416,FA 442,FA 473,Male,Golden,Tallest of all mortal men save his son Tuor only,Huor,Men,,Rían,"Huor was a grandson of Hador, of the House of Marach or House of Hador, and lived in the Hadorian fief of Dor-lómin in Hithlum; and the son of Galdor of the House of Marach and Hareth of the Haladin, and he had an older brother Húrin.
In the year 458 of the First Age Huor and Húrin dwelt with their kin in the forest of Brethil, when they joined a war party against Orcs. The brothers ended up in the Vale of Sirion, and were cut off from their company. Chased by Orcs, the Vala Ulmo caused a mist to arise from the rivers, and the brothers escaped into Dimbar. There two Eagles picked them up, and brought them to Gondolin.
King Turgon of Gondolin welcomed the brothers, remembering Ulmo's prophecy that the House of Hador would aide Gondolin in their time of greatest need. Turgon wished them to remain as he grew to love them, but the brothers wished to return to their kin. The brothers swore an oath to keep Gondolin secret, and Eagles brought them back to Dor-lómin.
In FA 462 Morgoth assailed Hithlum, and Huor's father Galdor fell defending the Ered Wethrin.
In about FA 470, Huor wedded Rían of the House of Bëor, and conceived a son. He named the child Tuor even before birth, and had to leave his home when called to the muster of King Fingon.
In the Nírnaeth Arnoediad the following year, Huor fought alongside Húrin and the Sons of Hador. In the midst of battle he met again with Turgon, and their meeting was glad. When the battle was lost, Húrin and Huor took a stand fighting off the Orcs, allowing Turgon to escape. Huor was finally slain by a poisoned arrow that hit him in the eye. Rían lived on until FA 473, when she died at the end of the Nírnaeth Arnoediad.
He was remembered by the Númenóreans as the heroic grandfather of Eärendil the Blessed.[1][2]
The Heraldic Device of Hador Lórindol

The House of Hador was previously known as the House of Marach.
Gildis


 
 

 
 

Hador Lórindol

 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 

Gundor

 
 

 
 

Galdor

 
 

 
 

Hareth


 
 

 
 



 
 

 
 



 
 

 
 

Glóredhel


 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 

Haldir

 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 

HandirMorwen


 
 

 
 

Húrin

 
 

 
 

Huor

 
 

 
 

Rían


 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 

Tuor

 
 

 
 

Idril


 
 

 
 

BrandirTúrin

 
 

 
 

Urwen


 
 

 
 

Niënor


 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 

Eärendil

 
 

 
 

Elwing


 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 



 
 

 
 

Elrond

 
 

 
 

Elros


",
